Temperature,Vibration,Current,Status,RUL
77.48,3.32,7.52,Normal,14.352000000000004
74.31,3.69,7.42,Normal,14.704000000000008
78.24,3.4,5.6,Normal,19.256
82.62,4.11,7.87,Faulty,0.0
73.83,5.2,4.76,Normal,15.421999999999997
73.83,3.23,6.02,Normal,21.492000000000004
82.9,5.0,4.0,Faulty,0.0
78.84,3.22,9.34,Faulty,0.0
72.65,3.15,6.65,Normal,20.709999999999994
77.71,4.82,10.25,Faulty,0.0
72.68,4.92,8.2,Normal,10.0
72.67,4.85,7.67,Normal,10.0
76.21,2.68,6.12,Normal,22.51400000000001
65.43,3.53,5.43,Normal,26.801999999999992
66.38,4.82,7.78,Normal,12.732
72.19,4.04,6.89,Normal,15.816000000000003
69.94,2.93,4.99,Normal,28.415999999999997
76.57,4.46,4.72,Normal,17.598000000000013
70.46,3.29,5.56,Normal,24.593999999999994
67.94,5.79,9.73,Faulty,0.0
82.33,5.54,10.32,Faulty,0.0
73.87,4.6,7.31,Normal,10.74799999999999
75.34,5.36,7.22,Normal,10.0
67.88,4.06,6.5,Normal,19.47200000000001
72.28,4.77,5.6,Normal,15.982
75.55,5.48,9.06,Faulty,0.0
69.25,4.25,9.81,Faulty,0.0
76.88,3.74,5.66,Normal,18.191999999999993
72.0,2.3,6.88,Normal,24.659999999999997
73.54,3.92,6.33,Normal,17.286
71.99,4.82,6.37,Normal,13.596000000000004
84.26,4.95,8.78,Faulty,0.0
74.93,4.5,5.03,Normal,17.451999999999998
69.71,3.46,7.7,Normal,17.774
79.11,2.02,8.09,Normal,18.164
68.9,3.5,6.79,Normal,20.789999999999992
76.04,3.7,8.34,Normal,10.856000000000009
65.2,3.69,7.22,Normal,20.77000000000001
68.36,4.62,8.83,Normal,10.0
75.98,5.99,4.72,Normal,10.301999999999992
78.69,4.12,6.48,Normal,12.74600000000001
75.86,3.78,6.89,Normal,14.914000000000001
74.42,3.74,2.99,Normal,27.677999999999997
73.49,4.12,5.37,Normal,19.196000000000012
67.61,3.17,5.78,Normal,26.244
71.4,4.12,8.42,Normal,11.299999999999997
72.7,4.45,5.94,Normal,16.310000000000002
80.29,4.21,5.77,Faulty,0.0
93.12,8.24,12.75,Faulty,0.0
66.18,4.43,4.57,Normal,24.431999999999988
76.62,2.23,3.89,Normal,31.208
73.07,4.64,6.46,Normal,13.578000000000017
71.62,3.33,4.83,Normal,25.888000000000005
78.06,2.9,4.89,Normal,23.994
80.15,2.9,7.86,Faulty,0.0
79.66,4.43,8.31,Normal,10.0
70.8,3.78,8.18,Normal,14.080000000000013
73.45,2.32,8.66,Normal,18.349999999999994
76.66,4.48,8.86,Normal,10.0
79.88,2.56,3.81,Normal,27.842000000000013
72.6,4.14,7.68,Normal,12.700000000000017
74.07,4.24,6.21,Normal,15.728000000000009
69.47,4.89,5.88,Normal,16.22800000000001
69.02,5.78,7.84,Normal,10.0
79.06,2.64,4.4,Normal,26.164
81.78,3.95,4.37,Faulty,0.0
74.64,3.72,7.95,Normal,12.765999999999991
80.02,4.43,7.73,Faulty,0.0
76.81,4.22,7.21,Normal,11.184000000000012
71.77,3.65,5.68,Normal,21.647999999999996
76.81,3.56,8.12,Normal,11.754000000000005
82.69,2.88,8.02,Faulty,0.0
74.82,4.99,7.13,Normal,10.0
82.82,4.46,5.23,Faulty,0.0
61.9,4.92,6.36,Normal,19.179999999999993
79.11,3.69,8.26,Normal,10.0
75.44,3.34,8.99,Normal,11.066000000000003
73.5,2.92,6.51,Normal,21.769999999999996
75.46,4.36,6.63,Normal,13.034000000000006
65.06,2.96,6.76,Normal,25.884
73.9,5.85,7.41,Normal,10.0
76.79,2.69,6.13,Normal,22.086
82.39,4.27,2.66,Faulty,0.0
72.41,5.57,8.79,Normal,10.0
70.96,4.6,9.69,Faulty,0.0
72.49,4.18,6.08,Normal,17.366000000000014
79.58,3.03,5.4,Normal,20.902
76.64,2.62,6.79,Normal,20.545999999999992
83.47,8.01,9.52,Faulty,0.0
77.57,5.51,8.49,Normal,10.0
75.49,3.56,7.08,Normal,15.665999999999997
79.84,2.86,5.81,Normal,20.366
71.49,1.54,5.02,Normal,34.346000000000004
73.36,3.02,8.3,Normal,15.983999999999995
73.04,3.89,7.9,Normal,13.025999999999996
67.68,5.6,8.59,Normal,10.0
76.48,4.67,5.55,Normal,14.111999999999995
76.31,4.31,9.76,Faulty,0.0
75.03,3.6,4.38,Normal,23.842
73.83,3.42,8.06,Normal,14.421999999999997
67.92,5.41,4.14,Normal,19.77799999999999
72.9,4.2,5.81,Normal,17.829999999999984
73.29,1.9,9.34,Faulty,0.0
70.99,3.33,8.25,Normal,16.006
74.19,3.14,6.18,Normal,21.24600000000001
77.02,3.45,6.22,Normal,17.878
84.43,4.56,7.15,Faulty,0.0
75.87,3.89,7.77,Normal,11.718000000000004
76.29,3.92,8.88,Normal,10.0
74.63,5.31,6.32,Normal,10.0
65.41,3.3,4.58,Normal,30.51400000000001
74.87,5.86,7.24,Normal,10.0
75.3,3.33,6.31,Normal,19.24000000000001
87.32,4.09,5.05,Faulty,0.0
74.04,3.72,7.45,Normal,14.626000000000005
76.51,4.12,6.68,Normal,13.454000000000008
74.83,4.44,7.46,Normal,10.522000000000006
69.16,4.43,5.66,Normal,19.37400000000001
80.71,3.25,7.73,Faulty,0.0
78.76,2.88,5.02,Normal,23.284000000000006
78.96,6.5,5.76,Faulty,0.0
70.45,3.52,6.64,Normal,20.209999999999994
82.01,4.7,9.61,Faulty,0.0
67.99,2.39,8.18,Normal,22.716000000000008
77.93,3.72,8.62,Normal,10.0
85.95,3.87,9.13,Faulty,0.0
70.05,4.47,12.4,Faulty,0.0
72.17,1.28,7.06,Normal,29.117999999999995
91.35,6.18,13.68,Faulty,0.0
72.48,2.85,8.52,Normal,16.701999999999998
67.25,4.32,8.49,Normal,12.579999999999998
75.34,2.96,9.66,Faulty,0.0
69.69,3.14,6.37,Normal,23.376000000000005
77.37,3.73,6.25,Normal,16.177999999999997
70.4,2.95,7.48,Normal,20.569999999999993
82.75,3.52,6.73,Faulty,0.0
71.08,2.81,7.48,Normal,20.86200000000001
73.39,2.17,9.34,Faulty,0.0
79.07,5.02,6.28,Normal,10.0
68.85,2.7,6.54,Normal,25.570000000000007
76.14,3.82,7.26,Normal,13.436000000000007
81.54,4.75,6.66,Faulty,0.0
66.96,3.39,4.13,Normal,30.48400000000001
75.92,3.17,6.13,Normal,20.208
91.63,6.26,11.41,Faulty,0.0
78.91,5.12,9.16,Faulty,0.0
68.82,2.83,5.27,Normal,28.748000000000005
68.4,3.85,5.26,Normal,23.930000000000007
77.61,2.27,7.05,Normal,20.933999999999997
76.48,3.61,3.89,Normal,24.391999999999996
76.25,4.03,6.33,Normal,15.109999999999985
76.73,3.15,4.4,Normal,25.012
71.6,3.54,9.05,Faulty,0.0
76.16,2.59,5.85,Normal,23.804000000000002
76.47,4.08,9.48,Faulty,0.0
82.96,7.09,10.81,Faulty,0.0
84.33,2.9,6.03,Faulty,0.0
77.37,3.38,5.39,Normal,20.507999999999996
80.27,7.06,9.74,Faulty,0.0
78.28,5.21,6.84,Normal,10.0
70.13,2.51,7.52,Normal,22.812000000000012
78.94,3.83,5.84,Normal,15.966000000000008
80.79,4.28,8.12,Faulty,0.0
70.9,3.9,7.4,Normal,15.759999999999991
79.82,1.52,6.49,Normal,25.03800000000001
77.06,4.5,5.93,Normal,13.474000000000018
79.11,5.52,6.72,Normal,10.0
84.48,4.12,5.77,Faulty,0.0
73.77,2.97,7.09,Normal,19.61800000000001
71.23,3.49,7.13,Normal,18.421999999999997
70.55,5.77,7.39,Normal,10.0
70.92,4.91,9.65,Faulty,0.0
74.61,4.64,6.8,Normal,11.634000000000015
76.71,4.36,8.51,Normal,10.0
76.38,3.34,7.34,Normal,15.452000000000012
79.14,3.8,6.64,Normal,13.59599999999999
75.07,3.92,6.82,Normal,14.897999999999996
82.27,4.55,6.91,Faulty,0.0
73.68,5.51,7.42,Normal,10.0
88.6,5.12,5.56,Faulty,0.0
78.13,2.58,4.8,Normal,25.822000000000003
70.71,4.22,7.98,Normal,12.534000000000006
69.65,4.74,8.35,Normal,10.0
77.41,4.62,8.12,Normal,10.0
73.88,3.37,7.23,Normal,17.132000000000005
78.57,6.91,8.15,Faulty,0.0
77.37,2.72,8.07,Normal,15.768
74.64,2.92,8.18,Normal,16.075999999999993
70.77,4.23,5.71,Normal,19.25800000000001
67.43,6.12,5.35,Faulty,0.0
72.77,3.16,6.42,Normal,21.27799999999999
79.28,3.73,6.97,Normal,12.872000000000014
76.07,5.08,6.64,Normal,10.0
68.77,3.98,4.18,Normal,26.298000000000002
75.87,3.67,9.58,Faulty,0.0
76.93,4.57,6.59,Normal,11.221999999999994
83.46,6.68,9.83,Faulty,0.0
90.66,7.11,13.54,Faulty,0.0
75.29,5.29,3.48,Normal,17.936000000000007
69.29,4.31,6.23,Normal,18.185999999999993
76.79,4.29,6.42,Normal,13.216000000000008
77.8,4.21,6.5,Normal,12.769999999999996
80.42,4.49,6.74,Faulty,0.0
80.27,4.06,9.17,Faulty,0.0
68.11,4.0,8.01,Normal,15.104
70.31,5.2,8.44,Normal,10.0
77.58,5.52,7.07,Normal,10.0
77.57,2.49,4.9,Normal,26.308000000000007
77.58,4.01,3.88,Normal,21.762000000000015
94.26,3.31,4.71,Faulty,0.0
77.85,3.69,7.54,Normal,12.219999999999999
80.68,4.4,7.05,Faulty,0.0
79.77,4.67,6.68,Normal,10.0
78.26,3.89,6.45,Normal,14.244
73.42,2.09,10.02,Faulty,0.0
78.79,3.03,5.77,Normal,20.266000000000005
71.14,4.9,8.39,Normal,10.0
73.82,1.26,7.0,Normal,28.408000000000015
72.57,5.19,6.91,Normal,10.0
75.41,4.52,8.76,Normal,10.0
86.57,5.32,9.19,Faulty,0.0
65.66,3.8,6.64,Normal,21.68400000000001
78.43,1.94,8.2,Normal,18.64200000000001
66.94,4.43,7.55,Normal,15.036000000000001
72.64,5.27,7.01,Normal,10.0
80.44,4.92,7.31,Faulty,0.0
75.32,3.34,5.97,Normal,20.198000000000008
69.61,4.09,6.54,Normal,18.164
82.43,5.95,8.63,Faulty,0.0
78.4,3.18,8.35,Normal,12.010000000000005
71.35,4.96,6.86,Normal,11.810000000000002
76.08,2.8,5.05,Normal,25.201999999999998
75.23,3.11,5.91,Normal,21.582000000000008
71.74,2.9,2.2,Normal,35.85600000000001
85.72,2.51,6.26,Faulty,0.0
78.17,4.15,7.06,Normal,11.168000000000006
64.87,5.16,6.8,Normal,14.877999999999986
75.93,3.82,9.97,Faulty,0.0
71.69,2.49,7.86,Normal,20.956000000000003
79.26,4.84,7.8,Normal,10.0
71.04,5.69,4.54,Normal,15.305999999999983
74.43,3.35,6.45,Normal,19.24199999999999
77.52,3.52,6.27,Normal,17.078000000000003
79.33,4.52,5.82,Normal,12.342000000000013
69.0,5.62,5.8,Normal,13.099999999999994
73.33,3.48,4.29,Normal,25.732
72.63,2.67,5.09,Normal,27.802000000000007
71.73,4.63,8.31,Normal,10.0
83.83,4.8,6.79,Faulty,0.0
77.02,4.01,6.24,Normal,15.018
68.7,3.44,6.99,Normal,20.61
95.51,8.74,12.88,Faulty,0.0
85.61,4.53,7.01,Faulty,0.0
93.34,6.76,10.39,Faulty,0.0
67.4,4.05,5.73,Normal,22.11999999999999
72.58,2.65,6.07,Normal,24.992000000000004
81.33,4.69,7.53,Faulty,0.0
71.46,3.74,9.84,Faulty,0.0
77.22,3.56,9.14,Faulty,0.0
78.87,3.97,7.87,Normal,10.0
70.37,4.04,7.23,Normal,15.888000000000005
74.7,4.89,9.1,Faulty,0.0
58.79,4.59,8.19,Normal,17.20599999999999
